country name,average population,average urban population,average urban population ratio,average birth rate
Vanuatu,211499.18181818182,50090.545454545456,0.23683564647359479,3.4621061347491477
Lesotho,2067679.6363636365,484855.63636363635,0.23449263021051792,3.5187531704137998
Afghanistan,30005285.90909091,6925301.454545454,0.230802715079187,3.059543786298945
Samoa,180099.36363636365,40596.818181818184,0.22541344601187324,3.572309274882762
"""Micronesia, Fed. Sts.""",109161.72727272728,24463.727272727272,0.22410535160924697,3.605206978389821
Kenya,35712389.63636363,7464330.909090909,0.20901236195884412,3.2630177180981264
Cambodia,13331464.0,2647010.1818181816,0.19855360085120297,3.722154242998809
Eritrea,4467964.818181818,880176.1818181818,0.19699711560762878,3.2797845779551933
Burkina Faso,14272136.272727273,2643260.1818181816,0.1852042421196052,3.117386428697918
Malawi,12924045.272727273,2266797.909090909,0.17539383848139076,3.1277064377299078
Solomon Islands,471283.9090909091,80880.90909090909,0.1716182274224589,3.386756697507361
Rwanda,9310203.636363637,1582765.4545454546,0.17000331210410005,3.209825989348283
Niger,13085082.272727273,2145902.090909091,0.16399607172373007,2.986682438034073
Ethiopia,74253849.0909091,12062491.090909092,0.16244937115840238,3.3217142710933167
Nepal,27235607.363636363,4329935.181818182,0.1589806727644083,3.5690782543013153
Sri Lanka,19662636.363636363,3000175.4545454546,0.15258256314468144,3.9777743829909267
Liechtenstein,34579.181818181816,5039.363636363636,0.14573403335164878,4.526527058668979
Papua New Guinea,6105097.7272727275,776537.2727272727,0.12719489636641212,3.4195465203303517
Uganda,28584390.09090909,3615386.090909091,0.12648113461266117,3.0556753095210247
Trinidad and Tobago,1316146.6363636365,161799.63636363635,0.12293435388831016,4.211900350973745
Burundi,7303547.636363637,705420.6363636364,0.09658602524222848,3.344645212157234
